from;to;cost;profit;category
1;2;740.592.073.561.656;1478;Zoo
1;3;719.161.300.154.117;1243;Entertainment
1;4;470.482.001.718.146;1042;Museum
1;5;465.753.807.495.913;1750;Palace
1;6;42.511.484.871.629;1581;Museum
1;7;517.280.865.413.866;539;Palace
1;8;959.387.904.442.545;571;Structure
1;9;424.347.011.005.236;1113;Museum
1;10;338.158.484.453.827;352;Zoo
1;11;402.308.709.913.465;2802;Museum
1;13;817.878.235.074.929;131;Museum
1;14;468.588.350.807.414;164;Museum
1;15;476.952.783.398.054;2030;Entertainment
1;16;400.134.281.634.291;4539;Museum
1;17;526.377.084.385.089;5533;Historical
1;18;489.069.474.257.062;963;Historical
1;19;505.868.584.445.157;268;Museum
1;20;467.742.791.178.334;1761;Historical
1;21;577.724.661.378.026;932;Museum
1;22;672.533.409.693.184;155;Museum
1;23;466.680.988.089.102;1056;Historical
1;24;67.467.400.892.575;572;Park
1;25;470.623.866.548.387;1042;Historical
1;26;431.499.120.118.128;860;Historical
1;27;537.118.471.931.037;453;Cultural
1;28;561.426.809.368.659;79;Museum
1;29;757.016.973.176.084;122;Park
2;1;740.592.073.561.656;1399;Palace
2;3;792.264.938.229.819;1243;Entertainment
2;4;543.924.068.936.461;1042;Museum
2;5;538.518.973.348.009;1750;Palace
2;6;4.982.171.292.996;1581;Museum
2;7;590.017.301.961.908;539;Palace
2;8;102.932.269.606.016;571;Structure
2;9;496.862.672.749.281;1113;Museum
2;10;411.973.861.557.763;352;Zoo
2;11;475.477.517.483.486;2802;Museum
2;13;146.901.424.547.936;131;Museum
2;14;541.341.952.765.142;164;Museum
2;15;549.544.127.305.524;2030;Entertainment
2;16;472.796.284.391.127;4539;Museum
2;17;599.385.823.210.889;5533;Historical
2;18;56.242.905.881.948;963;Historical
2;19;579.634.205.559.809;268;Museum
2;20;541.792.928.851.075;1761;Historical
2;21;651.408.687.723.099;932;Museum
2;22;746.256.009.369.237;155;Museum
2;23;540.428.161.280.519;1056;Historical
2;24;279.073.609.541.059;572;Park
2;25;543.600.182.602.957;1042;Historical
2;26;502.712.579.040.798;860;Historical
2;27;610.434.445.848.504;453;Cultural
2;28;631.802.414.489.365;79;Museum
2;29;285.035.551.561.528;122;Park
3;1;719.161.300.154.117;1399;Palace
3;2;792.264.938.229.819;1478;Zoo
3;4;249.286.715.038.997;1042;Museum
3;5;25.410.942.244.973;1750;Palace
3;6;294.062.025.180.365;1581;Museum
3;7;302.358.885.169.891;539;Palace
3;8;282.379.850.161.291;571;Structure
3;9;296.247.301.099.907;1113;Museum
3;10;383.000.946.810.543;352;Zoo
3;11;316.852.590.241.292;2802;Museum
3;13;649.141.130.177.385;131;Museum
3;14;251.323.262.439.664;164;Museum
3;15;243.663.759.485.672;2030;Entertainment
3;16;319.853.552.263.605;4539;Museum
3;17;192.907.173.063.751;5533;Historical
3;18;230.437.558.432.013;963;Historical
3;19;217.848.942.394.224;268;Museum
3;20;273.456.338.874.762;1761;Historical
