NAMA SEKOLAH ,Y,Z
SDN 1 BERINGIN RAYA ,-5.398338246,105.2062118
SDN 1 PINANG JAYA,-5.397419182,105.1949567
SDN 1 SUMBER AGUNG,-5.416215928,105.1870915
SDN 1 SUMBEREJO ,-5.392346337,105.2149233
SDN 2 BERINGIN RAYA ,-5.399243763,105.2061845
SDN 2 KEMILING PERMAI ,-5.37882155,105.2154123
SDN 2 PINANG JAYA ,-5.392740668,105.1927971
SDN 2 SUMBEREJO,-5.390782969,105.2085285
SDN 3 KEMILING PERMAI,-5.373091838,105.2127
SDN 3 SUMBEREJO ,-5.391245546,105.2082477
SDN 4 SUMBEREJO ,-5.402410016,105.2163555
SDN 5 SUMBEREJO ,-5.392437381,105.2166927
SDN 6 SUMBEREJO ,-5.393388968,105.2076039
SD AL-MUTTAQIEN ,-5.390098684,105.2120807
SD ALAM AL-KARIM LAMPUNG,-5.397403382,105.1937182
SD ISLAM AL-ANSHOR 1,-5.382523321,105.2089334
SD IT BAITUL JANNAH ,-5.384057166,105.2208186
SDS YAMAMA,-5.403945159,105.1913466
SDS DHARMA TUNGGAL ,-5.390016714,105.2108021
SMPN 13 BANDAR LAMPUNG,-5.393612549,105.2016038
SMPN 14 BANDAR LAMPUNG,-5.398529244,105.2064433
SMPN 26 BANDAR LAMPUNG,-5.388697267,105.2180019
SMPN 28 BANDAR LAMPUNG,-5.380276294,105.2112743
SMP AL-HUSNA,-5.387014911,105.2130301
SMP ALAM KARIM LAMPUNG,-5.398907513,105.1912586
SMP BUDAYA,-5.391119735,105.2094748
SMP ISLAM DARUL HIDAYAH,-5.395577238,105.1900374
SMP ISLAM NASHIHUDDIN,-5.401795318,105.2177915
SMP IT AL FIRDAUS ,-5.371756861,105.2088097
SMP IT BAITUL JANNAH,-5.38520377,105.2210818
SMP IT DAARUL ILMI,-5.385503866,105.2098669
SMP MARUJA PINANG JAYA,-5.397370364,105.1944903
SMP YAMAMA,-5.403968204,105.1921597
SMAN 14 BANDAR LAMPUNG,-5.379305493,105.2129463
SMAN 7 BANDAR LAMPUNG,-5.403784341,105.2009107
SMA IT BAITUL JANNAH,-5.383711803,105.2201047
SMA IT DAARUL ILMI,-5.385072099,105.210007
SMA IT FITRAH INSANI,-5.411280771,105.2000542
SMAS AL HUSNA ,-5.389062971,105.2120844
SMAS BUDAYA,-5.391218769,105.2097967
SMAS PERSADA BANDAR LAMPUNG,-5.38922411,105.2087798
SMAS YAMAMA,-5.403917444,105.1923079
SMKN 8 BANDAR LAMPUNG,-5.38716143,105.2066174
SMK NASHIHUDDIN,-5.402436275,105.2169494
SMKS PERSADA BANDAR LAMPUNG ,-5.389208583,105.208772
SMKS SAMUDRA ,-5.399256113,105.2089127
SDN 1 HARAPAN JAYA,-5.367088096,105.3082389
SDN 1 SUKARAME ,-5.385717207,105.2937513
SDN 1 WAY DADI,-5.384444489,105.294091
SDN 2 HARAPAN JAYA ,-5.365463468,105.300441
SDN 2 SUKARAME ,-5.387383445,105.3119689
SDN 2 WAY DADI,-5.377018906,105.2875355
SD ISLAM ASSALAM,-5.393460927,105.3132354
SD ISLAM AT-TAMAN,-5.38056997,105.296976
SD IT IBNU ABBAS,-5.362931768,105.3039283
SD IT INSAN KAMIL,-5.390394461,105.3027438
SD KARUNIA IMANUEL,-5.389174008,105.2894422
