,,,,
,nama_paket,kuota_gb,harga_rupiah,masa_aktif_hari
,Super Seru Promo,8,32000,28
,Super Seru Promo,10,35000,28
,Super Seru Promo,14,42000,28
,Super Seru Promo,20,50000,28
,Super Seru Promo,22,55000,28
,Super Seru Promo,60,100000,28
,Super Seru Promo,5,19000,14
,Super Seru Promo,9,25000,14
,Super Seru Promo,2,10000,7
,Super Seru Combo ,2,15000,7
,Super Seru Combo ,3,20000,14
,Super Seru Combo ,4,25000,14
,Super Seru Combo ,12,50000,30
,Super Seru Combo ,27,75000,30
,Super Seru Combo ,35,95000,30
,Super Seru Combo ,89,230000,30
,Super Seru Combo ,100,250000,30
,Super Seru Combo ,108,270000,30
,Super Seru Combo ,119,290000,30
,Super Seru Combo ,132,320000,30
,Super Seru Combo ,145,350000,30
,Super Seru Combo ,160,380000,30
,Super Seru Combo ,180,430000,30
,Super Seru Combo ,190,450000,30
,Super Seru Combo ,1,10000,7
,Internet Harian,3,6000,1
,Internet Harian,7,7000,1
,Internet Harian,5.5,18000,3
,Internet Harian,10,30000,3
,Internet Harian,15,40000,3
,Internet Harian,25,49000,3
,Internet Mingguan,5,30000,7
,Internet Mingguan,10,37000,7
,Internet Mingguan,20,50000,7
,Internet Mingguan,30,62000,7
,Internet Mingguan,80,77000,7
,Internet Bulanan,6,50000,30
,Internet Bulanan,10,75000,30
,Internet Bulanan,15,100000,30
,Internet Bulanan,35,120000,30
,Internet Bulanan,40,130000,30
,Internet Bulanan,60,185000,30
,Internet Bulanan,115,225000,30
,Lainnya,50,225000,90
,Lainnya,120,425000,180
,Super Seru Internet,3,15000,7
,Super Seru Internet,4,20000,14
,Super Seru Internet,5,25000,14
,Super Seru Internet,13,50000,30
,Super Seru Internet,28,75000,30
,Super Seru Internet,40,95000,30
,Super Seru Internet,110,230000,30
,Super Seru Internet,120,250000,30
,Super Seru Internet,130,270000,30
,Super Seru Internet,140,290000,30
,Super Seru Internet,155,320000,30
,Super Seru Internet,170,350000,30
,Super Seru Internet,185,380000,30
,Super Seru Internet,210,430000,30
,Super Seru Internet,230,450000,30
,Super Seru Internet,2,10000,7
,Serbu,7,7000,1
,Serbu,3,6000,1
,Serbu,7,5000,1
,Combo SAKTI,12,41000,7
,Combo SAKTI MAX,4,18000,14
,Combo SAKTI MAX,10,34000,30
,Combo SAKTI 20GB + Fita,20,55000,30
,Combo SAKTI 10GB + Fita,10,35000,30
,Combo SAKTI + Vidio,28,126000,30
,Combo SAKTI,20,90000,30
,Combo SAKTI,28,116000,30
,Combo SAKTI Mamo Games 20 GB,20,55000,30
